 

stn;time;tre200s0
BER;201905010000;5.1
BER;201905010010;5.3
BER;201905010020;4.6
BER;201905010030;5.2
BER;201905010040;5.3
BER;201905010050;5.7
BER;201905010100;4.8
BER;201905010110;4.7
BER;201905010120;4.7
BER;201905010130;3.0
BER;201905010140;2.8
BER;201905010150;4.4
BER;201905010200;4.4
BER;201905010210;3.3
BER;201905010220;4.7
BER;201905010230;3.0
BER;201905010240;3.8
BER;201905010250;3.9
BER;201905010300;2.8
BER;201905010310;2.8
BER;201905010320;2.7
BER;201905010330;2.3
BER;201905010340;1.8
BER;201905010350;2.9
BER;201905010400;2.3
BER;201905010410;2.5
BER;201905010420;2.0
BER;201905010430;2.1
BER;201905010440;2.4
BER;201905010450;2.1
BER;201905010500;3.0
BER;201905010510;2.7
BER;201905010520;3.3
BER;201905010530;3.7
BER;201905010540;4.0
BER;201905010550;5.0
BER;201905010600;5.5
BER;201905010610;5.6
BER;201905010620;6.2
BER;201905010630;6.5
BER;201905010640;6.8
BER;201905010650;7.4
BER;201905010700;7.7
BER;201905010710;8.3
BER;201905010720;9.5
BER;201905010730;9.3
BER;201905010740;9.9
BER;201905010750;10.2
BER;201905010800;10.0
BER;201905010810;10.4
BER;201905010820;10.6
BER;201905010830;11.4
BER;201905010840;11.1
BER;201905010850;11.2
BER;201905010900;11.8
BER;201905010910;12.1
BER;201905010920;12.3
BER;201905010930;12.6
BER;201905010940;13.1
BER;201905010950;13.6
BER;201905011000;13.3
BER;201905011010;14.0
BER;201905011020;13.4
BER;201905011030;13.4
BER;201905011040;13.4
BER;201905011050;14.1
BER;201905011100;14.7
BER;201905011110;14.5
BER;201905011120;15.3
BER;201905011130;15.5
BER;201905011140;14.9
BER;201905011150;15.6
BER;201905011200;15.6
BER;201905011210;16.0
BER;201905011220;15.9
BER;201905011230;15.3
BER;201905011240;16.5
BER;201905011250;16.2
BER;201905011300;16.8
BER;201905011310;16.8
BER;201905011320;16.9
BER;201905011330;16.8
BER;201905011340;16.1
BER;201905011350;16.6
BER;201905011400;16.3
BER;201905011410;16.8
BER;201905011420;16.9
BER;201905011430;17.0
BER;201905011440;17.4
BER;201905011450;17.5
BER;201905011500;17.0
BER;201905011510;17.2
BER;201905011520;17.0
BER;201905011530;17.2
BER;201905011540;17.2
BER;201905011550;17.3
BER;201905011600;17.2
BER;201905011610;17.2
BER;201905011620;17.2
BER;201905011630;17.2
BER;201905011640;17.1
BER;201905011650;17.1
BER;201905011700;17.1
BER;201905011710;16.7
BER;201905011720;16.5
BER;201905011730;16.5
BER;201905011740;16.0
BER;201905011750;16.3
BER;201905011800;16.1
BER;201905011810;15.5
BER;201905011820;14.8
BER;201905011830;13.6
BER;201905011840;12.7
BER;201905011850;11.7
BER;201905011900;10.7
BER;201905011910;11.1
BER;201905011920;10.4
BER;201905011930;10.3
BER;201905011940;9.1
BER;201905011950;9.5
BER;201905012000;9.5
BER;201905012010;8.4
BER;201905012020;8.7
BER;201905012030;8.4
BER;201905012040;8.0
BER;201905012050;6.1
BER;201905012100;7.4
BER;201905012110;6.9
BER;201905012120;7.6
BER;201905012130;7.9
BER;201905012140;7.2
BER;201905012150;8.5
BER;201905012200;8.1
BER;201905012210;7.0
BER;201905012220;7.6
BER;201905012230;7.1
BER;201905012240;6.8
BER;201905012250;7.3
BER;201905012300;8.0
BER;201905012310;7.0
BER;201905012320;6.3
BER;201905012330;6.2
BER;201905012340;6.1
BER;201905012350;6.2
BER;201905020000;5.7
BER;201905020010;5.6
BER;201905020020;5.5
BER;201905020030;5.0
BER;201905020040;4.5
BER;201905020050;5.2
BER;201905020100;6.2
BER;201905020110;4.1
BER;201905020120;4.6
BER;201905020130;4.6
BER;201905020140;4.8
BER;201905020150;5.1
BER;201905020200;5.1
BER;201905020210;5.0
BER;201905020220;5.0
BER;201905020230;4.8
BER;201905020240;4.9
BER;201905020250;4.8
BER;201905020300;3.9
BER;201905020310;4.1
BER;201905020320;4.1
BER;201905020330;3.7
BER;201905020340;4.5
BER;201905020350;4.6
BER;201905020400;3.6
BER;201905020410;3.7
BER;201905020420;3.1
BER;201905020430;3.7
BER;201905020440;3.7
BER;201905020450;4.3
BER;201905020500;4.0
BER;201905020510;5.4
