Typ,ID,Time,Temp,lon,lat,altitude
Logger,3,2019-06-27 02:00:00,22.301,7.42253,46.95292,553.8
Logger,3,2019-06-27 02:00:00,22.669,7.40633,46.94333,555.5
Logger,3,2019-06-27 02:00:00,25.077,7.44925,46.94851,536.6
Logger,3,2019-06-27 02:00:00,20.361,7.38733,46.98041,590.2
Logger,3,2019-06-27 02:00:00,20.599,7.38371,46.9402,561.9
Logger,3,2019-06-27 02:00:00,23.276,7.46248,46.968,550.5
Logger,3,2019-06-27 02:00:00,20.631,7.42015,46.95029,552.4
Logger,3,2019-06-27 02:00:00,23.132,7.4354,46.95791,558.6
Logger,3,2019-06-27 02:00:00,21.425,7.43982,46.96249,562.8
Logger,3,2019-06-27 02:00:00,22.701,7.47194,46.94701,564
Logger,3,2019-06-27 02:00:00,21.234,7.46442,46.94471,549.2
Logger,3,2019-06-27 02:00:00,23.34,7.44885,46.94381,530.8
Logger,3,2019-06-27 02:00:00,23.485,7.44415,46.9497,539.2
Logger,3,2019-06-27 02:00:00,24.722,7.43849,46.94729,542.5
Logger,3,2019-06-27 02:00:00,22.525,7.46019,46.95189,568.4
Logger,3,2019-06-27 02:00:00,22.605,7.44738,46.93861,519.7
Logger,3,2019-06-27 02:00:00,23.677,7.46992,46.95065,579.1
Logger,3,2019-06-27 02:00:00,21.89,7.39462,46.90339,656.7
Logger,3,2019-06-27 02:00:00,20.789,7.44213,46.9395,503.1
Logger,3,2019-06-27 02:00:00,22.238,7.4562,46.94687,499.6
Logger,3,2019-06-27 02:00:00,22.828,7.49872,46.95575,574.3
Logger,3,2019-06-27 02:00:00,21.553,7.42031,46.92781,567.2
Logger,3,2019-06-27 02:00:00,23.805,7.42567,46.94719,543.7
Logger,3,2019-06-27 02:00:00,23.404,7.43097,46.94192,524.6
Logger,3,2019-06-27 02:00:00,19.821,7.47124,46.94861,558.5
Logger,3,2019-06-27 02:00:00,24.303,7.47194,46.95555,563.7
Logger,3,2019-06-27 02:00:00,19.996,7.40995,46.92041,577.2
Logger,3,2019-06-27 02:00:00,20.059,7.42128,46.95739,552.3
Logger,3,2019-06-27 02:00:00,21.664,7.45656,46.93798,535.2
Logger,3,2019-06-27 02:00:00,23.789,7.45802,46.95696,559.3
Logger,3,2019-06-27 02:00:00,22.829,7.46887,46.94518,566.3
Logger,3,2019-06-27 02:00:00,24.094,7.44772,46.95519,542.8
Logger,3,2019-06-27 02:00:00,23.356,7.44514,46.95896,538.1
Logger,3,2019-06-27 02:00:00,22.573,7.43739,46.92607,619.8
Logger,3,2019-06-27 02:00:00,21.473,7.40134,46.9489,545.9
Logger,3,2019-06-27 02:00:00,23.452,7.45193,46.94858,533.1
Logger,3,2019-06-27 02:00:00,22.254,7.43462,46.94187,521.4
Logger,3,2019-06-27 02:00:00,24.335,7.45351,46.94813,532
Logger,3,2019-06-27 02:00:00,23.95,7.44741,46.94828,539.5
Logger,3,2019-06-27 02:00:00,23.356,7.46968,46.96717,547.6
Logger,3,2019-06-27 02:00:00,23.421,7.44418,46.94983,539
Logger,3,2019-06-27 02:00:00,22.079,7.43821,46.9651,573.1
Logger,3,2019-06-27 02:00:00,20.043,7.46833,46.94644,558.2
Logger,3,2019-06-27 02:00:00,22.717,NA,NA,NA
Logger,3,2019-06-27 02:00:00,17.966,7.36586,46.93362,574.3
Logger,3,2019-06-27 02:00:00,24.255,7.45191,46.96174,554.9
Logger,3,2019-06-27 02:00:00,24.4,7.44376,46.94879,541.5
Logger,3,2019-06-27 02:00:00,23.549,7.44077,46.95152,534.6
Logger,3,2019-06-27 02:00:00,23.516,7.43133,46.94077,525.7
Logger,3,2019-06-27 02:00:00,21.887,7.48007,46.93919,553.1
Logger,3,2019-06-27 02:00:00,20.885,7.41689,46.94211,548.4
Logger,3,2019-06-27 02:00:00,22.206,7.43887,46.93508,532.6
Logger,3,2019-06-27 02:00:00,21.33,7.37478,46.94555,554.2
Logger,3,2019-06-27 02:00:00,20.662,7.44116,46.974,492.4
Logger,3,2019-06-27 02:00:00,21.076,7.44922,46.96766,526.8
Logger,3,2019-06-27 02:00:00,19.662,7.50376,46.96682,557.6
Logger,3,2019-06-27 02:00:00,23.677,7.43365,46.94832,540.1
Logger,3,2019-06-27 02:00:00,22.365,7.42312,46.93719,560.6
Logger,3,2019-06-27 02:00:00,24.367,7.44354,46.94692,542.6
Logger,3,2019-06-27 02:00:00,24.319,7.43786,46.94658,540.3
Logger,3,2019-06-27 02:00:00,23.356,7.46407,46.94714,561.6
Logger,3,2019-06-27 02:00:00,24.127,7.44437,46.94917,539.1
Logger,3,2019-06-27 02:00:00,21.139,7.45326,46.93122,533.5
Logger,3,2019-06-27 02:00:00,22.908,7.43582,46.96406,576.1
Logger,3,2019-06-27 02:00:00,20.202,7.44571,46.94446,500.8
Logger,3,2019-06-27 02:00:00,19.044,7.51182,46.89942,513.1
Logger,3,2019-06-27 02:00:00,21.505,7.46954,46.9356,544.6
Logger,3,2019-06-27 02:00:00,23.164,7.45822,46.94065,551.6
Logger,3,2019-06-27 02:00:00,23.244,7.46255,46.96312,554.5
Logger,3,2019-06-27 02:00:00,22.174,7.48707,46.95289,551.5
Logger,3,2019-06-27 02:00:00,19.329,7.44504,46.96547,494.5
Logger,3,2019-06-27 02:00:00,20.678,NA,NA,NA
Logger,3,2019-06-27 02:00:00,21.187,7.46403,46.9908,552.8
Logger,3,2019-06-27 02:00:00,21.983,7.42805,46.93514,573.7
Logger,3,2019-06-27 02:00:00,23.26,7.43714,46.9517,561.6
CWS,2,NA,NA,7.3943629616851,46.885989049692,724
CWS,2,2019-06-27 01:57:46,26.8,7.383338,46.883334,659
CWS,2,2019-06-27 01:59:46,23.4,7.38997,46.885852,664
CWS,2,NA,NA,7.396762,46.938692,563
CWS,2,2019-06-27 01:58:33,24.8,7.393031698846,46.943502964423,559
CWS,2,2019-06-27 01:56:33,24.5,7.383468,46.94838,564
CWS,2,2019-06-27 01:55:09,24.9,7.3906078,46.9393034,563
CWS,2,2019-06-27 01:54:25,NA,7.383763216919,46.960911343438,491
CWS,2,NA,NA,7.395193,46.969016,575
CWS,2,2019-06-27 02:00:15,26,7.388242,46.935403,877
CWS,2,NA,NA,7.3931004999999,46.9686949,497
CWS,2,2019-06-27 01:51:58,23.5,7.387597,46.968521,504
CWS,2,2019-06-27 01:57:32,NA,7.385678,46.960113,505
CWS,2,NA,NA,7.3848442,46.985647,623
CWS,2,2019-06-27 01:56:44,27,7.383176,46.985635,622
CWS,2,NA,NA,7.385756,46.985748,613
CWS,2,NA,23.5,7.5418698,46.8962022,531
CWS,2,2019-06-27 01:59:14,NA,7.4968464999999,46.8845937,535
CWS,2,2019-06-27 01:51:44,27,7.499769,46.8817056,522
CWS,2,NA,NA,7.5445334976196,46.89685791829,540
CWS,2,2019-06-27 01:58:36,23.9,7.5049432398692,46.878194924856,539
CWS,2,2019-06-27 01:53:18,22.8,7.49307,46.89336,556
CWS,2,2019-06-27 01:55:10,NA,7.4997968,46.9175396,510
CWS,2,2019-06-27 01:52:35,24.5,7.499917,46.886085,523
CWS,2,2019-06-27 01:56:19,NA,7.4997189369507,46.882379277947,524
CWS,2,2019-06-27 01:54:46,27.9,7.489569,46.871388,596
CWS,2,2019-06-27 01:52:13,25.9,7.4968374,46.9007223,513
CWS,2,2019-06-27 01:59:53,23.8,7.4915438,46.8686836,552
CWS,2,2019-06-27 01:55:15,25.9,7.5070949999999,46.8812327,547
CWS,2,2019-06-27 01:58:28,26.6,7.5068623,46.8807888,546
CWS,2,2019-06-27 01:55:07,23.3,7.501444,46.884176,524
CWS,2,2019-06-27 01:50:29,23.5,7.498782,46.8848117,525
CWS,2,NA,NA,7.4975849,46.8880656,530
CWS,2,2019-06-27 01:57:02,26.2,7.4627716246064,46.922055463858,565
CWS,2,2019-06-27 01:56:58,NA,7.4326159392216,46.894308085571,779
CWS,2,2019-06-27 01:54:02,24.8,7.41184,46.91092,662
CWS,2,2019-06-27 01:56:12,24.9,7.43213,46.92471,635
CWS,2,2019-06-27 01:53:28,22.8,7.40777,46.92022,586
CWS,2,2019-06-27 01:51:31,25.1,7.475736,46.88223,830
CWS,2,2019-06-27 01:51:24,22.5,7.4083063736664,46.92437853784,605
CWS,2,NA,NA,7.4150876,46.91008,658
CWS,2,2019-06-27 01:53:25,24,7.4196222,46.9217747,622
CWS,2,2019-06-27 01:57:57,26.9,7.415754,46.913126,630
CWS,2,NA,NA,7.4146223068237,46.880202036147,710
CWS,2,NA,NA,7.409987,46.889546,711
CWS,2,2019-06-27 02:00:00,22.7,7.421653,46.9248345,597
CWS,2,2019-06-27 02:00:41,26.9,7.4180889749645,46.906110081866,735
CWS,2,2019-06-27 02:00:18,24.9,7.4162511792068,46.910842049975,646
CWS,2,2019-06-27 01:52:13,27.4,7.467421,46.916615,565
CWS,2,2019-06-27 01:55:52,25,7.419442,46.91765,-999
CWS,2,2019-06-27 01:33:03,NA,7.4119000000001,46.91085,662
CWS,2,2019-06-27 01:52:28,27.6,7.517955,46.935309,593
CWS,2,2019-06-27 01:52:30,23.6,7.5464162000001,46.9256395,622
CWS,2,2019-06-27 01:59:04,24,7.54509,46.925675,603
CWS,2,NA,NA,7.4968578784475,46.977900050282,602
CWS,2,2019-06-27 01:55:24,23.2,7.4997491,46.9811288,623
CWS,2,2019-06-27 02:00:51,25.4,7.501549,46.975624,604
CWS,2,2019-06-27 02:00:49,25.9,7.5376,46.930259,624
CWS,2,2019-06-27 01:57:30,26.9,7.505346,46.974159,626
CWS,2,NA,NA,7.529239,46.93181,-999
CWS,2,2019-06-27 01:55:25,NA,7.5022793010155,46.969686591458,603
CWS,2,NA,NA,7.499718,46.956786,0
CWS,2,NA,NA,7.4853330999999,46.9797822,589
CWS,2,2019-06-27 01:52:30,24.6,7.508656,46.955983,463
CWS,2,2019-06-27 02:00:04,26.5,7.498592,46.977421,-999
CWS,2,2019-06-27 01:53:07,23.5,7.4986394,46.9760471,596
CWS,2,2019-06-27 01:53:24,26.7,7.496343,46.938114,565
CWS,2,2019-06-27 01:56:54,25.3,7.489066,46.975584,573
CWS,2,NA,NA,7.498937,46.974049,599
CWS,2,2019-06-27 01:52:12,26.2,7.4980367319906,46.960109445642,420
CWS,2,2019-06-27 01:51:47,27.2,7.497425,46.960009,562
CWS,2,2019-06-27 01:59:58,24.4,7.492617,46.971724,554
CWS,2,2019-06-27 01:53:10,26.2,7.5114517,46.9357864,597
CWS,2,2019-06-27 01:55:08,24,7.4980399884682,46.961484859133,564
CWS,2,NA,NA,7.512809,46.931601,-999
CWS,2,2019-06-27 01:52:16,26.3,7.4931656,46.9539286,566
CWS,2,2019-06-27 01:51:24,26.4,7.495198,46.940638,-999
CWS,2,2019-06-27 02:00:49,NA,7.497195,46.954681,-999
CWS,2,2019-06-27 01:57:23,26.8,7.4981087,46.9374999,-999
CWS,2,2019-06-27 01:53:31,27.6,7.4873069,46.9577083,554
CWS,2,2019-06-27 01:59:24,25.3,7.4908603767212,46.958695519352,551
CWS,2,NA,NA,7.4961593,46.9388432,564
CWS,2,2019-06-27 01:52:53,28.1,7.4826945,46.9554463,556
CWS,2,2019-06-27 02:00:03,24.3,7.4837181,46.958905,597
CWS,2,2019-06-27 01:53:04,24.6,7.4926697452302,46.976380306613,597
CWS,2,2019-06-27 02:00:37,25.5,7.5034,46.931384,-999
CWS,2,2019-06-27 01:54:20,25.3,7.5329932797623,46.959179655691,605
CWS,2,2019-06-27 01:51:59,27.2,7.534338,46.959315,596
CWS,2,2019-06-27 01:54:47,NA,7.4874141,46.9592224,552
CWS,2,2019-06-27 01:59:46,26.9,7.4851934909821,46.965485927012,556
CWS,2,2019-06-27 01:56:27,22.7,7.4853973388672,46.965031975102,555
CWS,2,2019-06-27 02:01:10,26,7.488175,46.952357,551
CWS,2,NA,NA,7.4906533996508,46.936091354808,559
CWS,2,2019-06-27 02:01:34,26.6,7.48816,46.93233,562
CWS,2,2019-06-27 01:58:09,25.4,7.485092,46.9321928,564
CWS,2,2019-06-27 02:01:06,28.2,7.442062,46.949739,548
CWS,2,2019-06-27 01:59:43,24,7.425424,46.927443,602
CWS,2,2019-06-27 01:59:15,25.5,7.4250119259034,46.946971542952,546
CWS,2,2019-06-27 01:58:08,NA,7.4128055,46.9274313,576
CWS,2,2019-06-27 01:58:36,NA,7.464317,46.965701,554
CWS,2,2019-06-27 02:01:03,24.5,7.458184,46.960379,559
CWS,2,2019-06-27 01:56:24,NA,7.422554,46.926912,578
CWS,2,NA,NA,7.4498673000001,46.9693335,524
CWS,2,2019-06-27 02:00:48,NA,7.457077,46.956149,564
CWS,2,2019-06-27 01:55:25,25.3,7.4129422999999,46.9427771,552
CWS,2,2019-06-27 02:01:25,25,7.465139,46.965974,554
CWS,2,2019-06-27 01:59:21,27.3,7.449509,46.957903,-999
CWS,2,NA,NA,7.45508,46.95902,563
CWS,2,2019-06-27 01:55:36,24.9,7.4701338164214,46.935716652072,549
CWS,2,2019-06-27 02:01:35,24.7,7.4702670342988,46.951753038549,578
CWS,2,2019-06-27 01:57:52,24.7,7.4226963999999,46.9738197,501
CWS,2,2019-06-27 01:58:27,25.4,7.4705357,46.9498279,574
CWS,2,2019-06-27 01:55:14,25.8,7.454155,46.958211,565
CWS,2,2019-06-27 01:57:37,26.4,7.469408,46.950107,566
CWS,2,2019-06-27 01:57:15,24.6,7.4597515,46.9455718,558
CWS,2,2019-06-27 01:59:16,NA,7.4166476,46.9299157,569
CWS,2,NA,NA,7.423936,46.937364,567
CWS,2,NA,NA,7.45418,46.94844,540
CWS,2,2019-06-27 01:56:29,24.8,7.4697999,46.9503897,581
CWS,2,2019-06-27 01:58:58,27.9,7.465488,46.939864,555
CWS,2,2019-06-27 01:53:42,25.9,7.4670616246835,46.935144840604,542
CWS,2,2019-06-27 01:53:19,24.8,7.4182403624268,46.926834213036,570
CWS,2,2019-06-27 01:59:31,23,7.4650281,46.9341626,540
CWS,2,2019-06-27 01:54:30,25.5,7.458017,46.948286,557
CWS,2,2019-06-27 01:57:52,27.8,7.4517284,46.9478709,537
CWS,2,2019-06-27 01:58:20,26.5,7.4611331999999,46.9476896,553
CWS,2,NA,NA,7.463312,46.948498,-999
CWS,2,2019-06-27 02:00:00,26.7,7.41077,46.926425,598
CWS,2,2019-06-27 01:59:53,NA,7.451006,46.9481588,541
CWS,2,2019-06-27 01:57:52,24.5,7.454552,46.941369,544
CWS,2,NA,NA,7.4508797,46.971924,527
CWS,2,NA,23.2,7.429222,46.975733,528
CWS,2,2019-06-27 01:59:41,26.2,7.4559167,46.9415827,551
CWS,2,2019-06-27 01:54:33,25.7,7.4440079,46.9710728,546
CWS,2,2019-06-27 01:58:24,22.8,7.4650535032958,46.944634029414,552
CWS,2,2019-06-27 01:55:42,24.5,7.4337800000001,46.93487,554
CWS,2,2019-06-27 02:00:06,23.5,7.4466086,46.97062,514
CWS,2,2019-06-27 02:01:09,25.2,7.455417,46.940912,545
CWS,2,NA,NA,7.4567930000001,46.9553085,564
CWS,2,2019-06-27 01:55:38,NA,7.441754,46.975468,-999
CWS,2,2019-06-27 02:01:04,24,7.443596,46.961158,519
CWS,2,2019-06-27 01:54:39,22.8,7.4671706,46.9383063,546
CWS,2,2019-06-27 01:52:02,24.1,7.449316,46.938608,529
CWS,2,2019-06-27 01:57:11,28.1,7.433229,46.941349,-999
CWS,2,2019-06-27 01:50:25,24.7,7.428532,46.940472,-999
CWS,2,2019-06-27 01:51:19,NA,7.43983,46.969145,496
CWS,2,2019-06-27 01:59:25,27.3,7.4341822782065,46.952038429783,565
CWS,2,2019-06-27 01:48:10,NA,7.4347230930364,46.93845473353,528
CWS,2,2019-06-27 02:00:40,25.7,7.4366719275782,46.9594240515,564
CWS,2,NA,NA,7.434278011322,46.942849265345,531
CWS,2,NA,NA,7.4280456,46.9468814,539
CWS,2,NA,NA,7.4313167738143,46.939745147208,539
CWS,2,2019-06-27 01:52:55,NA,7.445311,46.966606,498
CWS,2,2019-06-27 01:51:42,27.2,7.4360077,46.9407569,524
CWS,2,2019-06-27 01:58:57,25.2,7.442982,46.934614,512
CWS,2,NA,NA,7.4387503,46.9720415,491
CWS,2,2019-06-27 01:58:40,25.6,7.4367707,46.9416246,525
CWS,2,2019-06-27 01:54:26,23.9,7.440525,46.93722,515
CWS,2,2019-06-27 01:53:23,28,7.436463,46.937254,558
CWS,2,NA,NA,7.4304445,46.9755582,522
CWS,2,2019-06-27 01:56:35,25,7.431231,46.946446,545
CWS,2,2019-06-27 02:01:10,28.2,7.44181,46.9432,507
CWS,2,2019-06-27 01:51:58,25.1,7.4343703,46.9342175,549
CWS,2,2019-06-27 02:00:17,24.3,7.4361732,46.9710803,497
CWS,2,NA,NA,7.4799817000001,46.9764923,549
CWS,2,2019-06-27 01:55:19,26.7,7.4368859,46.9390832,527
CWS,2,2019-06-27 01:52:30,26,7.4366617000001,46.9558862,556
CWS,2,2019-06-27 02:01:18,NA,7.427723,46.945344,542
CWS,2,2019-06-27 01:52:30,27.2,7.4752966912044,46.969861835465,559
CWS,2,2019-06-27 01:51:10,26.2,7.4789730289804,46.982087267452,567
CWS,2,2019-06-27 01:52:12,26.3,7.43794,46.93853,528
CWS,2,2019-06-27 01:55:16,NA,7.4582630362457,46.978672160242,516
CWS,2,2019-06-27 01:51:02,25.8,7.432077,46.942761,529
CWS,2,2019-06-27 02:00:09,23.5,7.416518,46.929205,571
