Typ,ID,Time,Temp,lon,lat,altitude
Bicycle,1,2019-06-27 00:00:00,24.58,7.434421,46.96065,573
Bicycle,1,2019-06-27 00:00:10,24.48,7.434161,46.96093,575
Bicycle,1,2019-06-27 00:00:20,24.38,7.43387,46.9612,579
Bicycle,1,2019-06-27 00:00:30,24.27,7.433598,46.96144,581
Bicycle,1,2019-06-27 00:00:40,24.19,7.433391,46.96164,581
Bicycle,1,2019-06-27 00:00:50,24.13,7.43319,46.96182,581
Bicycle,1,2019-06-27 00:01:00,24.11,7.432981,46.96202,581
Bicycle,1,2019-06-27 00:01:10,24.12,7.432771,46.96221,582
Bicycle,1,2019-06-27 00:01:20,24.18,7.432578,46.96243,581
Bicycle,1,2019-06-27 00:01:30,24.18,7.432363,46.96266,578
Bicycle,1,2019-06-27 00:01:40,24.18,7.432611,46.96259,578
Bicycle,1,2019-06-27 00:01:50,24.18,7.432923,46.96251,582
Bicycle,1,2019-06-27 00:02:00,24.18,7.433278,46.96242,587
Bicycle,1,2019-06-27 00:02:10,24.11,7.433683,46.96234,591
Bicycle,1,2019-06-27 00:02:20,24.11,7.434047,46.96235,593
Bicycle,1,2019-06-27 00:02:30,24.11,7.434378,46.96238,594
Bicycle,1,2019-06-27 00:02:40,24.11,7.434841,46.96249,594
Bicycle,1,2019-06-27 00:02:50,24.08,7.435418,46.96255,592
Bicycle,1,2019-06-27 00:03:00,24.04,7.435879,46.96268,589
Bicycle,1,2019-06-27 00:03:10,23.96,7.436133,46.96305,585
Bicycle,1,2019-06-27 00:03:20,23.85,7.436381,46.96345,583
Bicycle,1,2019-06-27 00:03:30,23.73,7.436611,46.96384,583
Bicycle,1,2019-06-27 00:03:40,23.65,7.436838,46.96422,584
Bicycle,1,2019-06-27 00:03:50,23.64,7.436953,46.96458,584
Bicycle,1,2019-06-27 00:04:00,23.64,7.437086,46.96491,584
Bicycle,1,2019-06-27 00:04:10,23.64,7.437216,46.9652,586
Bicycle,1,2019-06-27 00:04:20,23.68,7.437323,46.96554,586
Bicycle,1,2019-06-27 00:04:30,23.73,7.437399,46.96584,584
Bicycle,1,2019-06-27 00:04:40,23.81,7.437495,46.96613,580
Bicycle,1,2019-06-27 00:04:50,23.86,7.437612,46.96627,580.3333
Bicycle,1,2019-06-27 00:05:00,23.91,7.438069,46.96635,581
Bicycle,1,2019-06-27 00:05:10,23.95,7.438746,46.96646,579
Bicycle,1,2019-06-27 00:05:20,23.99,7.439553,46.96653,578
Bicycle,1,2019-06-27 00:05:30,24.04,7.440358,46.96629,575
Bicycle,1,2019-06-27 00:05:40,24.04,7.441201,46.96605,573
Bicycle,1,2019-06-27 00:05:50,23.95,7.441891,46.9659,571
Bicycle,1,2019-06-27 00:06:00,23.83,7.442194,46.96635,570
Bicycle,1,2019-06-27 00:06:10,23.78,7.442623,46.96699,564
Bicycle,1,2019-06-27 00:06:20,23.78,7.443191,46.96774,557
Bicycle,1,2019-06-27 00:06:30,23.61,7.443675,46.9686,551
Bicycle,1,2019-06-27 00:06:40,23.45,7.444068,46.96913,551
Bicycle,1,2019-06-27 00:06:50,23.44,7.444363,46.96948,551
Bicycle,1,2019-06-27 00:07:00,23.45,7.444603,46.96982,552
Bicycle,1,2019-06-27 00:07:10,23.44,7.444904,46.97011,551
Bicycle,1,2019-06-27 00:07:20,23.44,7.445176,46.97045,551
Bicycle,1,2019-06-27 00:07:30,23.44,7.445464,46.9708,551
Bicycle,1,2019-06-27 00:07:40,23.44,7.44574,46.97113,551
Bicycle,1,2019-06-27 00:07:50,23.45,7.446021,46.97146,550
Bicycle,1,2019-06-27 00:08:00,23.49,7.446429,46.97183,547
Bicycle,1,2019-06-27 00:08:10,23.51,7.446941,46.97215,547
Bicycle,1,2019-06-27 00:08:20,23.51,7.447361,46.97248,547
Bicycle,1,2019-06-27 00:08:30,23.45,7.447736,46.97278,549
Bicycle,1,2019-06-27 00:08:40,23.44,7.448408,46.973,546
Bicycle,1,2019-06-27 00:08:50,23.44,7.449364,46.97338,542
Bicycle,1,2019-06-27 00:09:00,23.39,7.450353,46.97382,537
Bicycle,1,2019-06-27 00:09:10,23.38,7.451148,46.9734,533
Bicycle,1,2019-06-27 00:09:20,23.39,7.451721,46.97351,531
Bicycle,1,2019-06-27 00:09:30,23.44,7.452458,46.97381,529
Bicycle,1,2019-06-27 00:09:40,23.39,7.453269,46.97416,527
Bicycle,1,2019-06-27 00:09:50,23.38,7.454085,46.97447,525
Bicycle,1,2019-06-27 00:10:00,23.38,7.45487,46.97476,523
Bicycle,1,2019-06-27 00:10:10,23.32,7.455663,46.97509,523
Bicycle,1,2019-06-27 00:10:20,23.31,7.456329,46.97554,521
Bicycle,1,2019-06-27 00:10:30,23.23,7.456698,46.97611,519
Bicycle,1,2019-06-27 00:10:40,23.13,7.456863,46.97673,519
Bicycle,1,2019-06-27 00:10:50,23,7.456999,46.9773,518
Bicycle,1,2019-06-27 00:11:00,22.91,7.457123,46.97784,519
Bicycle,1,2019-06-27 00:11:10,22.88,7.45713,46.97835,519
Bicycle,1,2019-06-27 00:11:20,22.84,7.457113,46.97882,519
Bicycle,1,2019-06-27 00:11:30,22.84,7.457098,46.97921,519
Bicycle,1,2019-06-27 00:11:40,22.83,7.457078,46.97958,519
Bicycle,1,2019-06-27 00:11:50,22.79,7.456998,46.97995,519
Bicycle,1,2019-06-27 00:12:00,22.85,7.456836,46.98033,523
Bicycle,1,2019-06-27 00:12:10,22.91,7.45683,46.9807,525
Bicycle,1,2019-06-27 00:12:20,22.97,7.456811,46.98108,525
Bicycle,1,2019-06-27 00:12:30,23.03,7.456809,46.98145,525
Bicycle,1,2019-06-27 00:12:40,23.04,7.456789,46.98181,526
Bicycle,1,2019-06-27 00:12:50,23.01,7.456789,46.98216,527
Bicycle,1,2019-06-27 00:13:00,22.97,7.456821,46.98249,527
Bicycle,1,2019-06-27 00:13:10,22.91,7.456968,46.98279,528
Bicycle,1,2019-06-27 00:13:20,22.88,7.457156,46.98307,528
Bicycle,1,2019-06-27 00:13:30,22.84,7.457285,46.98336,528
Bicycle,1,2019-06-27 00:13:40,22.78,7.45735,46.98368,529
Bicycle,1,2019-06-27 00:13:50,22.77,7.457341,46.98401,529
Bicycle,1,2019-06-27 00:14:00,22.77,7.457301,46.98432,529
Bicycle,1,2019-06-27 00:14:10,22.77,7.457249,46.98461,531
Bicycle,1,2019-06-27 00:14:20,22.76,7.457243,46.9849,531
Bicycle,1,2019-06-27 00:14:30,22.73,7.457203,46.9852,531
Bicycle,1,2019-06-27 00:14:40,22.71,7.457181,46.9855,531
Bicycle,1,2019-06-27 00:14:50,22.71,7.457169,46.98581,531
Bicycle,1,2019-06-27 00:15:00,22.71,7.457153,46.98614,532
Bicycle,1,2019-06-27 00:15:10,22.71,7.457119,46.98647,532
Bicycle,1,2019-06-27 00:15:20,22.71,7.457115,46.9868,531
Bicycle,1,2019-06-27 00:15:30,22.71,7.457101,46.98713,531
Bicycle,1,2019-06-27 00:15:40,22.71,7.457073,46.98747,531
Bicycle,1,2019-06-27 00:15:50,22.77,7.457044,46.98779,532
Bicycle,1,2019-06-27 00:16:00,22.78,7.457011,46.98811,531
Bicycle,1,2019-06-27 00:16:10,22.84,7.456989,46.98841,531
Bicycle,1,2019-06-27 00:16:20,22.88,7.456981,46.98869,533
Bicycle,1,2019-06-27 00:16:30,22.91,7.456958,46.98897,536
Bicycle,1,2019-06-27 00:16:40,22.92,7.456893,46.98927,541
Bicycle,1,2019-06-27 00:17:00,22.97,7.456806,46.98989,542
Bicycle,1,2019-06-27 00:17:10,22.97,7.456785,46.99021,542
Bicycle,1,2019-06-27 00:17:20,22.97,7.45678,46.99053,544
Bicycle,1,2019-06-27 00:17:30,22.97,7.456808,46.99083,544
Bicycle,1,2019-06-27 00:17:40,22.97,7.456808,46.99113,546
Bicycle,1,2019-06-27 00:17:50,22.97,7.456853,46.99145,547
Bicycle,1,2019-06-27 00:18:00,22.97,7.456911,46.99178,547
Bicycle,1,2019-06-27 00:18:40,22.91,7.457804,46.99262,548
Bicycle,1,2019-06-27 00:18:50,22.91,7.458144,46.99269,550
Bicycle,1,2019-06-27 00:19:00,22.91,7.458451,46.99276,552
Bicycle,1,2019-06-27 00:19:10,22.91,7.458739,46.99283,553
Bicycle,1,2019-06-27 00:19:20,22.91,7.45903,46.99292,555
Bicycle,1,2019-06-27 00:19:30,22.91,7.459333,46.99301,555
Bicycle,1,2019-06-27 00:19:40,22.91,7.459646,46.99312,556
Bicycle,1,2019-06-27 00:19:50,22.93,7.459958,46.99315,555
Bicycle,1,2019-06-27 00:20:00,22.97,7.460189,46.9929,555
Bicycle,1,2019-06-27 00:20:10,22.95,7.460444,46.99259,552
Bicycle,1,2019-06-27 00:20:20,22.87,7.460669,46.99229,551
Bicycle,1,2019-06-27 00:20:30,22.73,7.46091,46.99198,550
Bicycle,1,2019-06-27 00:20:40,22.61,7.461144,46.99166,549
Bicycle,1,2019-06-27 00:20:50,22.53,7.461368,46.99136,548
Bicycle,1,2019-06-27 00:21:00,22.49,7.461573,46.99103,549
Bicycle,1,2019-06-27 00:21:10,22.44,7.461796,46.99072,550
Bicycle,1,2019-06-27 00:21:20,22.39,7.461994,46.99044,552
Bicycle,1,2019-06-27 00:21:30,22.31,7.4622,46.99016,553
Bicycle,1,2019-06-27 00:21:40,22.23,7.462416,46.98987,554
Bicycle,1,2019-06-27 00:21:50,22.16,7.462623,46.9896,555
Bicycle,1,2019-06-27 00:22:00,22.1,7.462816,46.98932,556
Bicycle,1,2019-06-27 00:22:10,22.09,7.462836,46.98897,557
Bicycle,1,2019-06-27 00:22:20,22.04,7.462376,46.98874,557
Bicycle,1,2019-06-27 00:22:30,22.04,7.461895,46.98857,557
Bicycle,1,2019-06-27 00:22:40,22.04,7.461469,46.98821,553
Bicycle,1,2019-06-27 00:22:50,21.99,7.461769,46.98769,551
Bicycle,1,2019-06-27 00:23:00,21.88,7.462019,46.98719,550
