Typ,Time,Temp,lon,lat,altitude
Bicycle,26.06.2019 22:00,24.58,7.434421,46.96065,573
Bicycle,26.06.2019 22:00,24.48,7.434161,46.96093,575
Bicycle,26.06.2019 22:00,24.38,7.43387,46.9612,579
Bicycle,26.06.2019 22:00,24.27,7.433598,46.96144,581
Bicycle,26.06.2019 22:00,24.19,7.433391,46.96164,581
Bicycle,26.06.2019 22:00,24.13,7.43319,46.96182,581
Bicycle,26.06.2019 22:01,24.11,7.432981,46.96202,581
Bicycle,26.06.2019 22:01,24.12,7.432771,46.96221,582
Bicycle,26.06.2019 22:01,24.18,7.432578,46.96243,581
Bicycle,26.06.2019 22:01,24.18,7.432363,46.96266,578
Bicycle,26.06.2019 22:01,24.18,7.432611,46.96259,578
Bicycle,26.06.2019 22:01,24.18,7.432923,46.96251,582
Bicycle,26.06.2019 22:02,24.18,7.433278,46.96242,587
Bicycle,26.06.2019 22:02,24.11,7.433683,46.96234,591
Bicycle,26.06.2019 22:02,24.11,7.434047,46.96235,593
Bicycle,26.06.2019 22:02,24.11,7.434378,46.96238,594
Bicycle,26.06.2019 22:02,24.11,7.434841,46.96249,594
Bicycle,26.06.2019 22:02,24.08,7.435418,46.96255,592
Bicycle,26.06.2019 22:03,24.04,7.435879,46.96268,589
Bicycle,26.06.2019 22:03,23.96,7.436133,46.96305,585
Bicycle,26.06.2019 22:03,23.85,7.436381,46.96345,583
Bicycle,26.06.2019 22:03,23.73,7.436611,46.96384,583
Bicycle,26.06.2019 22:03,23.65,7.436838,46.96422,584
Bicycle,26.06.2019 22:03,23.64,7.436953,46.96458,584
Bicycle,26.06.2019 22:04,23.64,7.437086,46.96491,584
Bicycle,26.06.2019 22:04,23.64,7.437216,46.9652,586
Bicycle,26.06.2019 22:04,23.68,7.437323,46.96554,586
Bicycle,26.06.2019 22:04,23.73,7.437399,46.96584,584
Bicycle,26.06.2019 22:04,23.81,7.437495,46.96613,580
Bicycle,26.06.2019 22:04,23.86,7.437612,46.96627,580.3333
Bicycle,26.06.2019 22:05,23.91,7.438069,46.96635,581
Bicycle,26.06.2019 22:05,23.95,7.438746,46.96646,579
Bicycle,26.06.2019 22:05,23.99,7.439553,46.96653,578
Bicycle,26.06.2019 22:05,24.04,7.440358,46.96629,575
Bicycle,26.06.2019 22:05,24.04,7.441201,46.96605,573
Bicycle,26.06.2019 22:05,23.95,7.441891,46.9659,571
Bicycle,26.06.2019 22:06,23.83,7.442194,46.96635,570
Bicycle,26.06.2019 22:06,23.78,7.442623,46.96699,564
Bicycle,26.06.2019 22:06,23.78,7.443191,46.96774,557
Bicycle,26.06.2019 22:06,23.61,7.443675,46.9686,551
Bicycle,26.06.2019 22:06,23.45,7.444068,46.96913,551
Bicycle,26.06.2019 22:06,23.44,7.444363,46.96948,551
Bicycle,26.06.2019 22:07,23.45,7.444603,46.96982,552
