log$date_time_gmt_plus_2;date_time_gmt_plus_2;;Time HH;Log_1;Log_2;Log_3;Log_4;Log_6;Log_8;Log_9;Log_10;Log_11;Log_12;Log_13;Log_14;Log_15;Log_16;Log_17;Log_18;Log_19;Log_20;Log_21;Log_22;Log_23;Log_25;Log_26;Log_28;Log_29;Log_30;Log_31;Log_32;Log_33;Log_34;Log_35;Log_36;Log_37;Log_38;Log_39;Log_40;Log_41;Log_42;Log_45;Log_46;Log_47;Log_48;Log_50;Log_51;Log_52;Log_53;Log_54;Log_55;Log_57;Log_58;Log_59;Log_60;Log_61;Log_62;Log_63;Log_65;Log_68;Log_69;Log_70;Log_71;Log_73;Log_74;Log_76;Log_77;Log_78;Log_79;Log_80;Log_82;Log_83;Log_86;Log_87;Log_97;Log_99;Log_101;Log_102
26.06.2019 20:00;26.06.2019 20:00;20:00;20.00;32.704;33.743;34.058;30.457;32.291;34.058;31.778;33.222;29.853;32.807;31.166;35.864;34.163;34.479;32.911;34.163;34.058;31.166;33.222;33.639;32.807;33.222;33.848;35.222;33.118;34.903;31.472;29.452;30.356;34.374;34.479;33.743;33.743;33.743;31.676;33.848;32.911;34.479;33.848;33.535;34.585;30.457;33.014;32.394;30.862;33.953;34.163;34.585;35.009;32.704;34.691;33.43;32.704;33.118;34.268;30.356;35.328;35.435;34.585;33.848;33.743;34.796;32.086;30.154;32.394;33.848;32.291;35.864;34.691;33.222;26.683;33.118;33.43;30.963;34.268
26.06.2019 20:10;26.06.2019 20:10;20:10;20.17;32.394;32.497;33.953;30.457;31.778;33.848;31.166;33.014;29.552;32.394;30.659;35.649;34.163;34.374;32.6;33.953;33.743;30.862;32.394;32.704;31.983;33.118;33.848;34.796;32.807;34.374;30.862;29.053;30.154;34.163;34.163;33.639;33.43;33.014;31.166;33.743;32.807;34.163;33.639;32.911;34.268;30.356;32.6;32.291;29.552;33.743;34.058;34.374;34.796;32.497;33.014;33.118;32.497;32.497;33.43;30.054;35.756;34.585;34.479;33.953;33.535;34.691;31.472;30.154;30.054;32.911;32.086;35.435;34.374;32.807;26.585;32.6;32.911;30.963;33.848
26.06.2019 20:20;26.06.2019 20:20;20:20;20.33;31.88;32.291;33.743;30.154;31.268;33.639;30.659;32.394;29.552;31.88;30.154;35.435;34.058;34.268;32.086;33.535;33.535;30.356;31.574;31.778;31.574;32.394;33.743;34.691;32.086;33.848;30.356;28.655;29.953;33.848;33.743;33.326;33.118;32.086;30.659;33.326;32.394;33.848;33.535;32.394;34.058;30.255;31.88;31.983;29.053;33.43;33.848;34.268;34.691;31.472;31.574;32.497;31.88;31.574;32.807;29.252;35.222;33.535;34.374;33.848;33.118;34.374;30.963;30.054;29.252;32.188;31.676;35.009;33.953;32.188;26.292;31.983;32.394;30.76;33.326
26.06.2019 20:30;26.06.2019 20:30;20:30;20.50;31.37;31.676;33.43;29.352;30.659;33.326;30.054;31.778;28.953;31.37;29.552;35.115;33.848;34.163;31.574;32.497;33.222;29.953;30.76;31.064;30.862;31.676;33.535;34.374;31.064;33.43;29.752;28.258;29.752;33.326;33.326;32.6;32.807;30.963;30.154;33.118;31.778;33.43;33.639;31.88;33.848;30.054;31.064;31.676;28.555;33.014;33.639;33.953;34.585;30.558;30.659;31.574;30.963;30.558;32.291;28.555;34.585;32.807;34.163;33.743;32.704;34.163;30.356;30.054;28.456;31.472;31.268;34.374;33.222;31.778;25.805;30.963;31.268;30.558;32.807
26.06.2019 20:40;26.06.2019 20:40;20:40;20.67;30.862;31.166;33.118;28.357;30.154;33.014;29.452;31.064;28.159;30.862;29.053;34.585;33.743;34.163;31.166;31.983;32.6;29.452;30.154;30.558;30.356;30.862;33.326;33.953;29.953;33.222;29.152;27.862;29.452;32.6;33.014;31.88;32.394;30.054;29.652;32.394;31.166;32.911;33.326;31.064;33.639;29.853;29.853;31.472;27.961;32.6;33.639;33.639;33.953;29.752;30.054;30.963;30.356;29.552;31.574;27.961;33.848;32.291;34.058;33.43;32.291;33.953;29.752;30.054;27.862;30.255;30.659;33.535;32.497;31.166;25.319;30.154;30.255;30.457;32.188
26.06.2019 20:50;26.06.2019 20:50;20:50;20.83;30.558;30.963;32.807;27.764;29.452;32.704;28.953;30.457;27.567;30.457;28.456;33.848;33.326;33.953;30.76;31.574;32.188;29.352;29.552;29.853;29.752;29.652;32.807;32.911;29.053;32.807;28.357;27.468;29.152;32.086;32.291;31.268;31.88;29.252;29.152;31.983;30.659;32.497;32.704;30.659;33.014;29.652;28.953;31.064;26.879;32.188;33.326;33.118;32.911;28.853;29.752;30.457;30.054;28.754;30.76;27.665;33.118;31.574;33.743;33.118;31.676;33.535;29.152;29.953;27.37;29.352;29.752;32.911;31.88;30.659;25.222;28.953;29.252;30.054;31.574
26.06.2019 21:00;26.06.2019 21:00;21:00;21.00;29.853;30.659;32.497;26.879;28.953;32.291;28.258;29.853;26.683;29.953;27.961;32.911;32.704;33.743;30.356;30.963;31.574;28.357;28.754;28.953;29.053;28.555;31.88;32.086;28.06;32.291;27.764;27.075;28.853;31.574;31.676;30.963;30.963;28.655;28.655;31.37;30.255;32.086;32.497;30.154;32.291;29.652;28.159;30.659;25.902;31.88;32.911;32.394;32.086;28.258;29.053;30.054;29.352;28.06;29.752;26.879;32.394;30.659;33.326;32.807;31.166;33.222;28.555;29.853;26.585;28.555;29.152;32.188;31.268;30.054;24.738;27.764;28.06;29.552;30.862
26.06.2019 21:10;26.06.2019 21:10;21:10;21.17;29.252;29.853;32.086;26.195;28.159;31.472;27.665;29.452;26.488;29.552;27.468;32.086;32.086;33.118;29.853;30.457;30.862;27.272;28.159;28.456;28.456;27.764;31.268;31.166;27.272;31.574;27.173;26.585;28.456;31.064;31.166;30.457;30.558;28.159;28.159;30.659;29.853;31.574;32.188;30.154;31.983;29.252;27.272;30.255;25.028;31.472;32.6;31.676;31.37;27.567;28.456;29.552;29.152;27.567;28.953;26.683;31.574;30.054;32.807;32.291;30.558;32.807;27.862;29.652;26.488;27.37;28.456;31.676;30.558;29.452;24.545;27.173;27.468;28.853;30.255
26.06.2019 21:20;26.06.2019 21:20;21:20;21.33;28.953;28.853;31.472;26.292;27.37;31.064;27.173;28.953;26.781;29.152;26.977;31.37;31.778;32.6;29.452;30.054;30.457;26.585;27.764;27.961;27.665;27.173;30.76;30.356;26.488;31.064;26.585;26.195;28.159;30.558;30.76;30.154;29.652;27.764;27.665;29.853;29.452;31.064;31.676;29.552;31.574;28.655;26.977;29.853;24.448;31.064;32.291;31.472;31.064;27.075;28.06;29.252;28.853;26.879;28.159;26.195;31.268;29.652;32.291;31.88;30.054;32.394;27.468;29.352;25.902;26.488;27.862;31.268;30.054;28.754;24.255;26.683;27.075;28.258;29.752
26.06.2019 21:30;26.06.2019 21:30;21:30;21.50;28.754;28.655;30.963;26.195;26.879;30.558;26.781;28.555;26.585;28.655;26.585;30.862;31.064;31.983;28.953;29.552;30.054;26.683;27.075;27.665;26.977;26.781;30.255;29.853;25.708;30.457;25.902;25.902;27.764;29.953;30.154;29.853;29.352;27.567;27.272;29.652;28.953;30.558;30.558;29.053;30.862;28.159;26.097;29.352;23.773;30.558;31.574;30.862;30.457;26.488;27.567;29.053;28.159;26.488;27.567;24.931;30.76;29.053;31.778;31.37;29.452;31.676;26.879;29.053;25.222;25.61;27.468;30.76;29.652;28.159;23.581;26;26.585;27.764;29.352
