INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,FIX MODE,VALID,PDOP,HDOP,VDOP,VOX
1,T,190626,180146,46.952948N,007.434934E,615,0,0,3D,SPS ,1.2,0.9,0.7,
2,T,190626,180149,46.952984N,007.434946E,600,0,0,3D,SPS ,1.2,0.9,0.7,
3,T,190626,180150,46.952948N,007.434974E,593,0,0,3D,SPS ,1.2,0.9,0.7,
4,T,190626,180151,46.952936N,007.434970E,591,0,0,3D,SPS ,1.2,0.9,0.7,
5,T,190626,180155,46.952871N,007.434979E,581,0,0,3D,SPS ,1.2,0.9,0.7,
6,T,190626,180156,46.952858N,007.434976E,579,0,0,3D,SPS ,1.2,0.9,0.7,
7,T,190626,180157,46.952841N,007.434974E,577,0,0,3D,SPS ,1.2,0.9,0.7,
8,T,190626,180158,46.952828N,007.434968E,576,0,0,3D,SPS ,1.2,0.9,0.7,
9,T,190626,180159,46.952816N,007.434963E,574,0,0,3D,SPS ,1.5,1.2,0.8,
10,T,190626,180200,46.952803N,007.434956E,572,0,0,3D,SPS ,2.3,1.4,1.7,
11,T,190626,180201,46.952788N,007.434943E,571,0,0,3D,SPS ,1.5,1.2,0.8,
12,T,190626,180202,46.952783N,007.434929E,570,0,0,3D,SPS ,1.5,1.2,0.8,
13,T,190626,180203,46.952768N,007.434921E,569,0,0,3D,SPS ,1.5,1.2,0.8,
14,T,190626,180204,46.952761N,007.434916E,568,0,0,3D,SPS ,1.5,1.2,0.8,
15,T,190626,180205,46.952751N,007.434914E,567,0,0,3D,SPS ,1.5,1.2,0.8,
16,T,190626,180206,46.952748N,007.434910E,567,0,0,3D,SPS ,1.5,1.2,0.8,
17,T,190626,180207,46.952743N,007.434904E,568,0,0,3D,SPS ,1.5,1.2,0.8,
18,T,190626,180208,46.952739N,007.434899E,568,0,0,3D,SPS ,1.5,1.2,0.8,
19,T,190626,180211,46.952729N,007.434893E,568,0,0,3D,SPS ,1.5,1.2,0.8,
20,T,190626,180212,46.952728N,007.434891E,569,0,0,3D,SPS ,1.5,1.2,0.8,
21,T,190626,180213,46.952728N,007.434888E,569,0,0,3D,SPS ,1.5,1.2,0.8,
22,T,190626,180214,46.952726N,007.434886E,569,0,0,3D,SPS ,1.5,1.2,0.8,
23,T,190626,180215,46.952725N,007.434886E,569,0,0,3D,SPS ,1.5,1.2,0.8,
24,T,190626,180216,46.952723N,007.434886E,569,0,0,3D,SPS ,1.5,1.2,0.8,
25,T,190626,180217,46.952720N,007.434886E,569,0,0,3D,SPS ,1.5,1.2,0.8,
26,T,190626,180218,46.952710N,007.434889E,569,0,0,3D,SPS ,1.5,1.2,0.8,
27,T,190626,180219,46.952703N,007.434894E,570,0,0,3D,SPS ,1.5,1.2,0.8,
28,T,190626,180222,46.952673N,007.434903E,569,0,0,3D,SPS ,1.7,1.3,0.9,
29,T,190626,180223,46.952668N,007.434898E,568,0,0,3D,SPS ,1.5,1.2,0.8,
