"ID","Year","DOY","HHMM","Seconds","Temp.degC","RelHum.percent","CO2.ppm","H2O.degC","Tdew.","Tfrost.","TIMESTAMP","TNUM","X","Y","Z","dateAndTime","TIMESTAMP_CEST","Equal_Temp_Flag","NbrofSats_Flag","Implausible_Flag","Route_Flag"
107,2019,177,856,NA,-82.5,-47.72,619.2,16.07,11.92,3.099,"2019-06-26 08:56:00",1561539360,7.434979,46.952871,581," 2019-06-26 08:56:00",2019-06-26 10:56:00,NA,NA,NA,NA
107,2019,177,856,10,-82.8,-48.17,615.2,16.05,11.9,3.099,"2019-06-26 08:56:10",1561539370,7.434979,46.952871,581," 2019-06-26 08:56:10",2019-06-26 10:56:10,NA,NA,NA,NA
107,2019,177,857,20.13,-83,-48.41,585.6,16.03,11.92,3.099,"2019-06-26 08:57:20",1561539440,7.434979,46.952871,581," 2019-06-26 08:57:20",2019-06-26 10:57:20,NA,NA,NA,NA
107,2019,177,857,30,-83,-48.42,579.3,16.03,11.91,3.099,"2019-06-26 08:57:30",1561539450,7.434979,46.952871,581," 2019-06-26 08:57:30",2019-06-26 10:57:30,NA,NA,NA,NA
107,2019,177,857,40,-83,-48.41,576.5,16.03,11.92,3.099,"2019-06-26 08:57:40",1561539460,7.434979,46.952871,581," 2019-06-26 08:57:40",2019-06-26 10:57:40,NA,NA,NA,NA
107,2019,177,857,50,-83,-48.41,581.7,16.04,11.91,3.099,"2019-06-26 08:57:50",1561539470,7.434979,46.952871,581," 2019-06-26 08:57:50",2019-06-26 10:57:50,NA,NA,NA,NA
107,2019,177,858,NA,-83,-48.41,580.7,16.03,11.9,3.099,"2019-06-26 08:58:00",1561539480,7.434979,46.952871,581," 2019-06-26 08:58:00",2019-06-26 10:58:00,NA,NA,NA,NA
107,2019,177,858,10,-83,-48.45,573.3,16.03,11.91,3.099,"2019-06-26 08:58:10",1561539490,7.434979,46.952871,581," 2019-06-26 08:58:10",2019-06-26 10:58:10,NA,NA,NA,NA
107,2019,177,858,20,-83,-48.42,572.6,16.05,11.9,3.099,"2019-06-26 08:58:20",1561539500,7.434979,46.952871,581," 2019-06-26 08:58:20",2019-06-26 10:58:20,NA,NA,NA,NA
107,2019,177,912,NA,-43.98,-9.01,767,NA,11.54,3.099,"2019-06-26 09:12:00",1561540320,7.434979,46.952871,581," 2019-06-26 09:12:00",2019-06-26 11:12:00,NA,NA,NA,NA
107,2019,177,912,10,-70.7,-39.21,548.3,16.2,11.54,3.099,"2019-06-26 09:12:10",1561540330,7.434979,46.952871,581," 2019-06-26 09:12:10",2019-06-26 11:12:10,NA,NA,NA,NA
107,2019,177,912,20,-86.3,-54.46,492.8,17.03,11.51,3.099,"2019-06-26 09:12:20",1561540340,7.434979,46.952871,581," 2019-06-26 09:12:20",2019-06-26 11:12:20,NA,NA,NA,NA
107,2019,177,912,30,-80.6,-47.57,500.5,17.11,11.55,3.099,"2019-06-26 09:12:30",1561540350,7.434979,46.952871,581," 2019-06-26 09:12:30",2019-06-26 11:12:30,NA,NA,NA,NA
107,2019,177,912,50.13,-100.9,-62.71,506.8,17.16,11.53,3.099,"2019-06-26 09:12:50",1561540370,7.434979,46.952871,581," 2019-06-26 09:12:50",2019-06-26 11:12:50,NA,NA,NA,NA
107,2019,177,913,NA,-88.2,-52.1,520.7,17.13,11.46,3.099,"2019-06-26 09:13:00",1561540380,7.434979,46.952871,581," 2019-06-26 09:13:00",2019-06-26 11:13:00,NA,NA,NA,NA
