"NUMMER","time_20_21","time_21_22","time_22_23","time_23_00","time_00_01","time_01_02","time_02_03","time_03_04","time_04_05","time_05_06","time_06_07","time_07_08","time_08_09","time_09_10","time_10_11","time_11_12","time_12_13","time_13_14","time_20_22","time_21_23","time_22_00","time_23_01","time_00_02","time_01_03","time_02_04","time_03_05","time_04_06","time_05_07","time_06_08","time_07_09","time_08_10","time_09_11","time_10_12","time_11_13","time_12_14","time_20_23","time_21_00","time_22_01","time_23_02","time_00_03","time_01_04","time_02_05","time_03_06","time_04_07","time_05_08","time_06_09","time_07_10","time_08_11","time_09_12","time_10_13","time_11_14","time_20_00","time_21_01","time_22_02","time_23_03","time_00_04","time_01_05","time_02_06","time_03_07","time_04_08","time_05_09","time_06_10","time_07_11","time_08_12","time_09_13","time_10_14","night_22_06"
16,27.577,25.572,24.129,23.6,NA,NA,21.104,21.726,22.052,22.398,24.133,26.593,29.936,31.148,NA,35.702,36.458,37.333,26.358,24.857,23.967,23.6,NA,21.104,21.506,21.874,22.243,22.991,25.723,28.308,30.097,31.148,35.702,36.196,36.662,25.525,24.632,23.967,23.6,21.104,21.506,21.696,22.062,22.663,24.376,27.431,28.516,30.097,34.667,36.196,36.384,25.253,24.632,23.967,22.229,21.506,21.696,21.907,22.387,23.799,25.981,27.649,28.516,31.865,35.727,36.384,22.531
86,26.271,25.344,24.422,23.522,NA,NA,21.233,20.851,21.057,22.285,24.069,26.525,28.935,30.705,NA,34.791,35.937,36.371,25.707,24.887,24.147,23.522,NA,21.233,20.987,20.944,21.734,22.895,25.656,27.761,29.17,30.705,34.791,35.539,36.038,25.227,24.643,24.147,23.522,21.233,20.987,21.011,21.426,22.254,24.291,26.986,27.976,29.17,33.862,35.539,35.677,24.986,24.643,24.147,22.265,20.987,21.011,21.395,21.84,23.488,25.632,27.204,27.976,30.943,35.09,35.677,22.228
82,29.246,27.955,27.074,26.456,NA,NA,23.538,23.129,23.02,23.344,25.35,28.236,31.133,33.043,NA,36.742,37.139,38.017,28.46,27.519,26.885,26.456,NA,23.538,23.275,23.08,23.199,24.03,27.216,29.723,31.387,33.043,36.742,37.002,37.343,27.943,27.329,26.885,26.456,23.538,23.275,23.186,23.175,23.678,25.647,28.804,29.965,31.387,35.902,37.002,37.169,27.732,27.329,26.885,24.854,23.275,23.186,23.233,23.516,24.996,27.231,29.053,29.965,33.076,36.634,37.169,24.339
33,23.575,21.97,21.487,20.674,NA,NA,18.857,18.78,19.664,23.262,25.779,28.072,30.228,31.305,NA,34.09,34.737,34.963,22.598,21.731,21.238,20.674,NA,18.857,18.806,19.182,21.649,24.121,27.262,29.178,30.372,31.305,34.09,34.512,34.79,22.183,21.542,21.238,20.674,18.857,18.806,19.106,20.646,22.567,25.64,28.465,29.334,30.372,33.457,34.512,34.587,21.97,21.542,21.238,19.676,18.806,19.106,20.357,21.45,24.158,26.965,28.631,29.334,31.544,34.214,34.587,20.624
71,24.82,23.654,22.236,21.547,NA,NA,19.292,19.013,19.008,21.305,23.782,27.839,30.241,31.695,NA,34.914,36.128,36.833,24.111,22.952,22.026,21.547,NA,19.292,19.113,19.011,20.275,22.152,26.404,29.071,30.435,31.695,34.914,35.706,36.292,23.41,22.701,22.026,21.547,19.292,19.113,19.076,19.834,21.055,24.338,27.96,29.263,30.435,34.183,35.706,35.892,23.147,22.701,22.026,20.309,19.113,19.076,19.747,20.453,23.016,26.043,28.179,29.263,31.847,35.334,35.892,20.437
42,28.035,26.756,25.884,24.669,NA,NA,22.193,22.34,22.334,22.505,24.853,27.803,30.041,31.259,NA,34.871,36.035,36.345,27.258,26.323,25.513,24.669,NA,22.193,22.288,22.337,22.428,23.308,26.759,28.952,30.204,31.259,34.871,35.631,36.106,26.744,26.027,25.513,24.669,22.193,22.288,22.304,22.397,22.968,25.036,28.09,29.12,30.204,34.05,35.631,35.748,26.451,26.027,25.513,23.309,22.288,22.304,22.364,22.783,24.366,26.481,28.276,29.12,31.675,35.225,35.748,23.318
68,24.99,24.209,22.446,21.789,NA,NA,19.317,19.075,19.617,21.386,23.637,26.92,30.064,31.241,NA,35.287,36.219,36.372,24.514,23.336,22.246,21.789,NA,19.317,19.161,19.322,20.593,22.155,25.759,28.533,30.221,31.241,35.287,35.896,36.255,23.741,23.06,22.246,21.789,19.317,19.161,19.321,20.062,21.27,23.987,27.505,28.731,30.221,34.367,35.896,35.974,23.466,23.06,22.246,20.431,19.161,19.321,19.942,20.623,22.903,25.742,27.724,28.731,31.818,35.463,35.974,20.639
13,27.078,25.994,24.763,24.111,NA,NA,22.37,21.848,21.966,23.35,25.627,27.81,30.536,31.667,NA,35.169,35.617,35.496,26.418,25.385,24.564,24.111,NA,22.37,22.034,21.902,22.73,24.128,27.038,29.209,30.687,31.667,35.169,35.461,35.588,25.8,25.157,24.564,24.111,22.37,22.034,22.01,22.421,23.374,25.543,28.456,29.388,30.687,34.373,35.461,35.466,25.561,25.157,24.564,23.155,22.034,22.01,22.413,22.924,24.656,26.985,28.645,29.388,32.1,35.108,35.466,23.064
14,25.184,23.846,22.822,22.028,NA,NA,20.652,20.679,21.104,21.881,23.852,25.745,28.642,30.384,NA,34.127,34.664,35.098,24.37,23.338,22.579,22.028,NA,20.652,20.67,20.872,21.533,22.554,25.075,27.231,28.874,30.384,34.127,34.478,34.765,23.791,23.104,22.579,22.028,20.652,20.67,20.822,21.234,22.049,23.781,26.522,27.462,28.874,33.276,34.478,34.58,23.542,23.104,22.579,21.272,20.67,20.822,21.141,21.645,23.117,25.185,26.748,27.462,30.531,34.097,34.58,21.576
70,26.743,25.791,24.854,23.726,NA,NA,20.841,20.842,20.746,21.93,24.176,26.025,29.474,31.249,NA,35.886,37.119,37.883,26.164,25.327,24.51,23.726,NA,20.841,20.842,20.798,21.399,22.697,25.371,27.795,29.711,31.249,35.886,36.691,37.296,25.674,25.041,24.51,23.726,20.841,20.842,20.809,21.204,22.016,23.976,27.035,28.047,29.711,34.833,36.691,36.887,25.399,25.041,24.51,22.142,20.842,20.809,21.146,21.67,23.175,25.564,27.282,28.047,31.658,36.185,36.887,22.164
17,24.556,23.766,22.829,22.187,NA,NA,20.54,20.288,20.326,21.372,24.61,27.469,29.759,31.342,NA,34.688,35.246,35.892,24.075,23.302,22.633,22.187,NA,20.54,20.378,20.305,20.903,22.479,26.457,28.644,29.97,31.342,34.688,35.053,35.396,23.61,23.103,22.633,22.187,20.54,20.378,20.36,20.688,21.728,24.396,27.796,28.841,29.97,33.928,35.053,35.191,23.409,23.103,22.633,21.282,20.378,20.36,20.664,21.303,23.387,25.945,28.004,28.841,31.458,34.708,35.191,21.26
52,27.882,26.14,25.183,24.612,NA,NA,22.063,21.557,21.205,21.865,24.724,27.691,29.925,31.518,NA,35.761,36.662,37.4,26.822,25.666,25.008,24.612,NA,22.063,21.737,21.397,21.569,22.842,26.641,28.837,30.137,31.518,35.761,36.35,36.834,26.21,25.477,25.008,24.612,22.063,21.737,21.551,21.565,22.271,24.706,27.973,29.033,30.137,34.797,36.35,36.523,25.984,25.477,25.008,23.212,21.737,21.551,21.645,22.06,23.838,26.213,28.181,29.033,31.911,35.901,36.523,22.664
19,28.529,27.143,25.888,25.124,NA,NA,22.878,22.326,21.957,22.249,25.263,28.947,30.926,31.853,NA,35.494,36.15,36.618,27.686,26.522,25.654,25.124,NA,22.878,22.523,22.158,22.118,23.279,27.644,29.963,31.05,31.853,35.494,35.922,36.258,27.014,26.272,25.654,25.124,22.878,22.523,22.325,22.19,22.818,25.458,28.975,30.101,31.05,34.666,35.922,36.036,26.747,26.272,25.654,23.891,22.523,22.325,22.302,22.673,24.59,27.037,29.144,30.101,32.451,35.544,36.036,23.317
26,28.953,27.193,26.324,25.918,NA,NA,22.692,22.066,21.831,22.827,25.413,27.913,30.108,31.389,NA,35.203,35.929,36.404,27.882,26.763,26.2,25.918,NA,22.692,22.289,21.959,22.381,23.711,27.029,29.039,30.279,31.389,35.203,35.677,36.04,27.3,26.612,26.2,25.918,22.692,22.289,22.129,22.27,23.055,25.326,28.278,29.211,30.279,34.336,35.677,35.797,27.105,26.612,26.2,24.147,22.289,22.129,22.339,22.763,24.459,26.707,28.46,29.211,31.832,35.279,35.797,23.508
21,26.918,25.443,24.35,23.615,NA,NA,20.981,20.457,20.071,20.665,23.679,26.724,28.488,29.58,NA,33.663,34.58,36.045,26.021,24.902,24.125,23.615,NA,20.981,20.644,20.281,20.398,21.696,25.647,27.629,28.634,29.58,33.663,34.262,34.921,25.396,24.672,24.125,23.615,20.981,20.644,20.444,20.419,21.129,23.628,26.799,27.772,28.634,32.735,34.262,34.557,25.145,24.672,24.125,22.169,20.644,20.444,20.51,20.931,22.746,25.032,26.962,27.772,30.22,33.827,34.557,21.605
22,26.608,25.385,24.287,23.703,NA,NA,20.771,20.446,20.435,22.76,25.706,28.214,30.735,32.179,NA,35.875,36.963,37.432,25.864,24.842,24.109,23.703,NA,20.771,20.562,20.441,21.718,23.766,27.327,29.508,30.928,32.179,35.875,36.585,37.072,25.275,24.638,24.109,23.703,20.771,20.562,20.517,21.273,22.605,25.476,28.709,29.703,30.928,35.035,36.585,36.724,25.053,24.638,24.109,22.093,20.562,20.517,21.192,21.968,24.226,26.995,28.912,29.703,32.488,36.175,36.724,22.075
10,27.282,26.561,25.976,24.811,NA,NA,21.86,21.209,21.007,23.219,25.651,27.68,29.581,31.584,NA,35.577,36.481,36.915,26.844,26.271,25.62,24.811,NA,21.86,21.441,21.117,22.228,24.05,26.961,28.655,29.848,31.584,35.577,36.168,36.581,26.519,26.01,25.62,24.811,21.86,21.441,21.289,21.871,22.989,25.445,28.023,28.87,29.848,34.67,36.168,36.291,26.278,26.01,25.62,23.19,21.441,21.289,21.87,22.464,24.344,26.639,28.232,28.87,31.655,35.742,36.291,23.005
20,25.238,24.83,23.097,25.39,NA,NA,21.16,21.034,20.204,22.405,25.67,28.391,29.001,29.88,NA,33.069,34.079,34.903,24.989,23.973,23.798,25.39,NA,21.16,21.08,20.657,21.418,23.522,27.427,28.704,29.118,29.88,33.069,33.729,34.27,24.282,24.228,23.798,25.39,21.16,21.08,20.774,21.284,22.365,25.393,28.065,28.79,29.118,32.344,33.729,33.922,24.44,24.228,23.798,23.067,21.08,20.774,21.265,21.972,24.106,26.435,28.172,28.79,30.364,33.371,33.922,22.032
58,24.866,23.935,22.446,21.767,NA,NA,19.393,19.244,19.984,21.915,25.174,27.674,30.329,31.472,NA,35.97,37.04,37.516,24.299,23.198,22.238,21.767,NA,19.393,19.297,19.581,21.049,23.028,26.79,29.036,30.481,31.472,35.97,36.669,37.15,23.607,22.942,22.238,21.767,19.393,19.297,19.538,20.418,21.966,24.814,28.225,29.214,30.481,34.947,36.669,36.809,23.347,22.942,22.238,20.463,19.297,19.538,20.253,21.163,23.616,26.406,28.415,29.214,32.212,36.186,36.809,20.854
30,25.562,24.553,23.718,23.094,NA,NA,20.977,20.694,21.286,22.6,24.537,27.023,28.702,29.78,NA,33.853,34.591,35.116,24.949,24.14,23.527,23.094,NA,20.977,20.795,20.963,22.011,23.262,26.143,27.884,28.846,29.78,33.853,34.335,34.713,24.489,23.953,23.527,23.094,20.977,20.795,20.967,21.551,22.573,24.708,27.181,28.023,28.846,32.927,34.335,34.464,24.292,23.953,23.527,21.931,20.795,20.967,21.458,22.019,23.859,25.861,27.333,28.023,30.425,33.912,34.464,22.084
46,24.763,24.706,24.532,23.748,NA,NA,20.762,20.252,20.883,23.091,24.901,26.842,29.674,30.982,NA,35.293,36.228,36.869,24.728,24.619,24.292,23.748,NA,20.762,20.433,20.539,22.102,23.71,26.156,28.295,29.849,30.982,35.293,35.903,36.377,24.655,24.463,24.292,23.748,20.762,20.433,20.591,21.455,22.724,24.914,27.583,28.492,29.849,34.313,35.903,36.062,24.526,24.463,24.292,22.108,20.433,20.591,21.343,21.995,23.914,26.289,27.782,28.492,31.566,35.446,36.062,22.236
1,24.996,23.863,22.86,22.345,NA,NA,20.225,19.817,20.359,23.342,25.889,27.897,30.013,31.611,NA,35.078,36.309,36.606,24.307,23.366,22.702,22.345,NA,20.225,19.962,20.063,22.005,24.212,27.186,28.983,30.226,31.611,35.078,35.881,36.378,23.766,23.184,22.702,22.345,20.225,19.962,20.101,21.24,22.868,25.628,28.332,29.175,30.226,34.29,35.881,36.001,23.565,23.184,22.702,21.18,19.962,20.101,21.076,21.968,24.321,26.894,28.524,29.175,31.756,35.485,36.001,21.568
80,28.072,26.766,25.654,24.943,NA,NA,22.585,21.989,21.553,22.674,25.05,27.413,29.214,30.733,NA,35.206,35.309,35.499,27.278,26.215,25.437,24.943,NA,22.585,22.202,21.791,22.172,23.486,26.577,28.337,29.417,30.733,35.206,35.273,35.353,26.671,25.988,25.437,24.943,22.585,22.202,21.975,22.108,22.812,24.995,27.647,28.512,29.417,34.189,35.273,35.31,26.427,25.988,25.437,23.648,22.202,21.975,22.185,22.569,24.142,26.214,27.828,28.512,31.242,34.851,35.31,23.17
59,27.449,26.261,25.125,24.308,NA,NA,21.977,21.305,20.863,22.032,24.078,26.201,29.327,30.898,NA,36.665,37.204,37.996,26.727,25.698,24.875,24.308,NA,21.977,21.544,21.104,21.508,22.731,25.45,27.805,29.536,30.898,36.665,37.017,37.388,26.128,25.45,24.875,24.308,21.977,21.544,21.306,21.437,22.08,24.065,27.022,28.031,29.536,35.354,37.017,37.179,25.871,25.45,24.875,23.028,21.544,21.306,21.525,21.851,23.271,25.585,27.249,28.031,31.784,36.449,37.179,22.539
2,24.527,23.785,22.656,20.976,NA,NA,18.4,18.173,19.21,20.619,24.049,26.45,29.281,31.102,NA,35.41,35.909,36.526,24.074,23.226,22.143,20.976,NA,18.4,18.254,18.644,19.987,21.791,25.601,27.903,29.523,31.102,35.41,35.736,36.053,23.544,22.823,22.143,20.976,18.4,18.254,18.588,19.353,20.891,23.582,27.093,28.136,29.523,34.431,35.736,35.866,23.182,22.823,22.143,19.561,18.254,18.588,19.199,20.089,22.497,25.227,27.328,28.136,31.38,35.305,35.866,20.09
6,27.986,27.117,26.587,25.672,NA,NA,22.244,21.562,21.731,24.215,25.976,28.239,30.107,31.389,NA,35.756,37.181,37.433,27.458,26.854,26.307,25.672,NA,22.244,21.805,21.639,23.102,24.817,27.438,29.197,30.278,31.389,35.756,36.687,37.238,27.133,26.643,26.307,25.672,22.244,21.805,21.779,22.564,23.741,26.132,28.52,29.358,30.278,34.764,36.687,36.809,26.926,26.643,26.307,23.79,21.805,21.779,22.512,23.098,25.041,27.28,28.689,29.358,32.006,36.194,36.809,23.661
38,23.593,22.654,21.466,20.92,NA,NA,18.831,18.452,19.002,21.586,25.158,28.66,30.577,31.713,NA,35.338,36.393,36.853,23.022,22.066,21.299,20.92,NA,18.831,18.587,18.702,20.427,22.807,27.422,29.644,30.729,31.713,35.338,36.026,36.5,22.44,21.861,21.299,20.92,18.831,18.587,18.732,19.737,21.48,25.057,28.701,29.795,30.729,34.514,36.026,36.163,22.226,21.861,21.299,19.773,18.587,18.732,19.591,20.587,23.555,26.651,28.878,29.795,32.182,35.625,36.163,20.108
37,24.009,22.878,21.657,20.949,NA,NA,18.837,18.546,18.763,19.743,21.457,24.224,26.793,27.944,NA,32.048,32.776,33.103,23.321,22.273,21.44,20.949,NA,18.837,18.65,18.645,19.303,20.329,23.246,25.542,26.947,27.944,32.048,32.523,32.852,22.699,22.036,21.44,20.949,18.837,18.65,18.689,19.039,19.783,21.827,24.684,25.718,26.947,31.115,32.523,32.619,22.452,22.036,21.44,19.79,18.65,18.689,19.006,19.418,21.067,23.261,24.875,25.718,28.555,32.098,32.619,19.743
32,25.372,24.016,23.101,22.784,NA,NA,20.092,19.725,19.432,19.655,21.516,23.713,26.078,27.594,NA,32.367,32.997,33.578,24.547,23.563,23.004,22.784,NA,20.092,19.856,19.592,19.555,20.292,22.936,24.927,26.28,27.594,32.367,32.779,33.132,24.007,23.424,23.004,22.784,20.092,19.856,19.708,19.615,19.992,21.607,24.21,25.122,26.28,31.282,32.779,32.911,23.834,23.424,23.004,21.306,19.856,19.708,19.692,19.913,21.068,22.898,24.408,25.122,28.2,32.297,32.911,20.695
53,27.503,26.133,25.078,24.627,NA,NA,22.273,21.782,21.368,22.193,24.006,26.702,28.994,29.543,NA,34.029,35.228,35.944,26.669,25.611,24.94,24.627,NA,22.273,21.957,21.594,21.823,22.813,25.749,27.878,29.067,29.543,34.029,34.812,35.395,26.075,25.435,24.94,24.627,22.273,21.957,21.751,21.809,22.309,24.308,27.065,28,29.067,33.009,34.812,34.999,25.87,25.435,24.94,23.335,21.957,21.751,21.884,22.153,23.579,25.661,27.21,28,30.632,34.323,34.999,22.809
34,27.175,25.954,24.995,23.934,NA,NA,21.023,20.693,20.596,21.491,23.769,25.942,27.807,29.026,NA,34.771,36.109,36.995,26.431,25.479,24.671,23.934,NA,21.023,20.811,20.649,21.09,22.269,25.173,26.899,27.97,29.026,34.771,35.645,36.315,25.895,25.203,24.671,23.934,21.023,20.811,20.736,20.951,21.686,23.681,26.241,27.054,27.97,33.466,35.645,35.867,25.618,25.203,24.671,22.336,20.811,20.736,20.963,21.393,22.916,24.872,26.405,27.054,30.115,35.03,35.867,22.086
